village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Kolasib Rural,Mizoram,2023-01-02,WS_76346,River,25.823681,93.785997,6.0,23.8,937.0,4997.0,1.4,172.3,20.98,0.95,1.93,1.31,0.044,Lab Analysis,Agency_4,0,High,
Thoubal Village,Manipur,2023-01-02,WS_74023,Well,25.511912,96.910578,6.51,0.1,41.0,75.0,8.0,15.9,2.1,0.013,0.22,0.28,0.026,IoT Sensor,Agency_8,1,Safe,99.0
Agartala Rural,Tripura,2023-01-02,WS_20236,Tube Well,23.840613,93.618824,8.21,2.3,24.0,28.0,5.9,19.0,1.0,0.039,1.91,0.08,0.014,Water Testing Kit,Agency_9,1,Safe,191.0
Lunglei Village,Mizoram,2023-01-02,WS_37773,Well,23.892401,93.239558,4.65,79.9,1527.0,3932.0,3.3,175.3,20.46,1.02,1.77,0.33,0.021,Water Testing Kit,Agency_9,0,High,139.0
Gangtok Rural,Sikkim,2023-01-03,WS_12926,Well,27.934623,94.47222,7.46,0.3,24.0,9.0,8.6,29.3,0.17,0.041,1.56,0.9,0.036,IoT Sensor,Agency_5,1,Safe,169.0
Gyalshing Rural,Sikkim,2023-01-03,WS_36152,Well,26.800078,93.977754,7.03,7.7,14.0,10.0,8.5,18.6,1.07,0.044,0.14,1.02,0.033,Water Testing Kit,Agency_9,1,Safe,46.0
Lawngtlai Village,Mizoram,2023-01-03,WS_67183,River,28.169047,91.731112,7.36,7.2,16.0,7.0,7.7,27.2,2.97,0.012,1.54,0.24,0.02,IoT Sensor,Agency_9,1,Safe,
Jorethang Rural,Sikkim,2023-01-03,WS_94598,Well,24.977106,94.406866,7.55,1.4,17.0,94.0,7.6,38.8,2.51,0.046,0.33,0.9,0.02,IoT Sensor,Agency_8,1,Safe,50.0
Dharmanagar Rural,Tripura,2023-01-03,WS_53839,Well,23.693406,93.101421,8.07,3.6,27.0,3.0,7.0,19.2,1.12,0.041,1.03,1.33,0.023,IoT Sensor,Agency_5,1,Safe,174.0
Jowai Rural,Meghalaya,2023-01-03,WS_49475,Piped Supply,23.536379,95.729602,4.61,57.9,269.0,4708.0,3.0,163.0,9.58,1.04,0.79,0.2,0.032,IoT Sensor,Agency_5,0,High,
Aizawl Rural,Mizoram,2023-01-03,WS_83868,Piped Supply,23.212305,91.831883,7.65,1.9,48.0,88.0,7.4,7.9,2.35,0.026,1.72,0.38,0.005,Water Testing Kit,Agency_9,1,Safe,
Rangpo Rural,Sikkim,2023-01-04,WS_63348,Tube Well,24.641781,96.234849,7.33,0.6,36.0,22.0,5.9,26.4,2.95,0.021,1.69,0.13,0.047,IoT Sensor,Agency_9,1,Safe,119.0
Shillong Rural,Meghalaya,2023-01-04,WS_58211,Pond,28.794721,88.002909,5.48,64.3,909.0,2180.0,3.2,50.5,23.94,1.46,0.15,1.21,0.037,Water Testing Kit,Agency_2,0,High,
Kohima Rural,Nagaland,2023-01-04,WS_36544,River,28.990804,93.762028,7.55,4.8,50.0,99.0,8.9,24.7,0.95,0.028,0.45,0.41,0.022,Water Testing Kit,Agency_7,1,Safe,
Williamnagar Village,Meghalaya,2023-01-04,WS_64507,Well,24.40861,89.589926,6.61,2.6,3.0,93.0,5.4,36.8,2.72,0.023,1.13,0.53,0.037,IoT Sensor,Agency_7,1,Safe,93.0
Gangtok Rural,Sikkim,2023-01-04,WS_85993,Tube Well,27.119781,93.486292,4.95,63.2,1773.0,4104.0,3.0,136.1,17.63,0.51,0.16,0.21,0.045,Water Testing Kit,Agency_5,0,High,188.0
Baghmara Rural,Meghalaya,2023-01-04,WS_69101,Well,25.965229,94.505234,6.96,2.4,36.0,10.0,6.4,27.5,0.15,0.002,0.77,1.44,0.002,Water Testing Kit,Agency_7,1,Safe,164.0
Dibrugarh Rural,Assam,2023-01-04,WS_26976,Pond,28.832331,88.584583,5.12,71.1,1560.0,3251.0,3.1,85.4,24.3,0.53,1.55,0.16,0.039,IoT Sensor,Agency_7,0,High,
Lawngtlai Village,Mizoram,2023-01-05,WS_48761,River,24.346018,90.10789,4.59,34.1,1026.0,3163.0,1.4,115.1,6.45,0.17,1.89,0.45,0.021,Lab Analysis,Agency_2,0,High,
Serchhip Village,Mizoram,2023-01-05,WS_66723,River,24.733335,90.574353,6.81,3.9,41.0,51.0,5.8,18.6,2.26,0.007,1.01,0.01,0.04,Water Testing Kit,Agency_7,1,Safe,
Wokha Rural,Nagaland,2023-01-05,WS_90715,River,27.745398,95.471346,7.06,4.0,6.0,70.0,8.2,3.0,2.65,0.019,0.58,0.55,0.012,Lab Analysis,Agency_8,1,Safe,
Amarpur Village,Tripura,2023-01-05,WS_23578,Pond,28.208244,93.93033,6.68,2.2,6.0,65.0,5.4,27.8,0.4,0.047,1.46,0.96,0.014,Water Testing Kit,Agency_6,1,Safe,
Baghmara Rural,Meghalaya,2023-01-05,WS_30985,River,27.911941,91.273026,7.41,4.4,18.0,2.0,7.6,25.5,2.93,0.025,1.2,0.07,0.023,Water Testing Kit,Agency_9,1,Safe,
Bishnupur Rural,Manipur,2023-01-05,WS_49756,Piped Supply,23.790521,96.235245,7.01,8.0,42.0,26.0,6.7,25.4,0.04,0.048,1.73,0.71,0.003,IoT Sensor,Agency_7,1,Safe,
Dimapur Village,Nagaland,2023-01-05,WS_66370,River,28.742062,91.818398,6.64,5.6,28.0,17.0,5.5,31.2,1.02,0.05,0.89,1.11,0.025,Lab Analysis,Agency_3,1,Safe,
Jorhat Village,Assam,2023-01-06,WS_90074,Well,24.12029,88.100443,5.62,27.1,1731.0,4918.0,2.4,67.3,16.66,1.19,0.85,0.79,0.038,IoT Sensor,Agency_5,0,High,37.0
Lawngtlai Village,Mizoram,2023-01-06,WS_54870,Piped Supply,26.968296,91.440224,6.97,7.3,27.0,20.0,7.7,36.1,2.28,0.03,0.83,1.29,0.036,Water Testing Kit,Agency_3,1,Safe,
Belonia Rural,Tripura,2023-01-06,WS_10150,Tube Well,23.362197,93.644011,8.08,3.0,8.0,36.0,7.9,15.1,2.39,0.034,0.12,0.35,0.01,Water Testing Kit,Agency_3,1,Safe,14.0
Senapati Rural,Manipur,2023-01-06,WS_91772,River,24.038631,93.643978,8.37,7.9,38.0,92.0,8.2,41.0,0.31,0.048,0.08,0.28,0.032,IoT Sensor,Agency_5,1,Safe,
Champhai Rural,Mizoram,2023-01-06,WS_46337,River,23.726509,92.158132,5.69,62.2,1213.0,207.0,2.4,181.2,11.65,0.95,0.46,0.5,0.024,IoT Sensor,Agency_5,0,High,
Baghmara Rural,Meghalaya,2023-01-06,WS_70397,River,24.693016,96.804128,6.88,1.8,44.0,93.0,8.4,1.9,1.96,0.023,0.69,0.92,0.025,Lab Analysis,Agency_7,1,Safe,
Amarpur Village,Tripura,2023-01-06,WS_29842,Tube Well,24.427199,88.091395,5.75,83.9,1523.0,4084.0,3.2,116.8,22.93,1.83,1.48,0.87,0.017,Water Testing Kit,Agency_3,0,High,165.0
Tezpur Rural,Assam,2023-01-07,WS_70477,Well,24.713267,93.201036,6.98,0.9,39.0,49.0,8.1,40.6,1.15,0.003,0.63,1.17,0.019,IoT Sensor,Agency_9,1,Safe,17.0
Karimganj Village,Assam,2023-01-07,WS_63145,Piped Supply,28.247454,95.191139,7.01,7.9,20.0,68.0,8.6,7.0,2.64,0.035,1.52,0.24,0.01,IoT Sensor,Agency_1,1,Safe,
Jorhat Village,Assam,2023-01-07,WS_73187,Well,28.189319,91.847156,8.31,7.2,33.0,71.0,7.5,35.1,1.05,0.027,1.19,0.79,0.049,Water Testing Kit,Agency_5,1,Safe,130.0
Itanagar Rural,Arunachal Pradesh,2023-01-07,WS_22295,River,23.9776,94.371427,7.0,5.9,49.0,13.0,7.5,23.3,2.55,0.0,0.28,0.93,0.043,IoT Sensor,Agency_8,1,Safe,
Resubelpara Rural,Meghalaya,2023-01-07,WS_73163,Tube Well,23.329248,91.777309,7.52,0.1,4.0,74.0,6.3,6.7,1.29,0.002,1.17,1.15,0.004,Water Testing Kit,Agency_2,1,Safe,63.0
Pasighat Rural,Arunachal Pradesh,2023-01-07,WS_22083,Pond,27.302026,88.011308,7.05,4.7,15.0,11.0,6.2,21.2,0.89,0.031,0.0,0.2,0.024,Lab Analysis,Agency_8,1,Safe,
Singtam Village,Sikkim,2023-01-07,WS_47528,River,25.135193,88.923929,6.87,0.5,31.0,80.0,8.0,40.5,2.44,0.014,0.99,0.57,0.0,IoT Sensor,Agency_9,1,Safe,
Zunheboto Village,Nagaland,2023-01-08,WS_36823,Piped Supply,24.779691,93.766862,6.97,0.1,33.0,62.0,7.6,7.0,1.81,0.027,1.39,0.51,0.039,Water Testing Kit,Agency_9,1,Safe,
Lunglei Village,Mizoram,2023-01-08,WS_91949,River,23.066331,94.220282,4.94,76.8,1956.0,3582.0,1.2,71.4,13.92,1.49,1.23,0.01,0.002,IoT Sensor,Agency_5,0,High,
Gyalshing Rural,Sikkim,2023-01-08,WS_33963,Tube Well,23.691454,92.169602,8.11,6.1,49.0,95.0,5.3,1.0,1.49,0.014,1.23,1.36,0.035,Water Testing Kit,Agency_2,1,Safe,26.0
Khliehriat Village,Meghalaya,2023-01-08,WS_64848,River,24.031468,93.009793,7.86,6.1,32.0,39.0,6.7,4.4,1.24,0.039,1.85,0.32,0.017,IoT Sensor,Agency_9,1,Safe,
Khliehriat Village,Meghalaya,2023-01-08,WS_85487,Piped Supply,25.127748,90.052122,8.45,6.8,3.0,34.0,8.0,18.8,1.31,0.04,0.72,1.05,0.018,Lab Analysis,Agency_2,1,Safe,
Kiphire Village,Nagaland,2023-01-08,WS_92377,Tube Well,25.802592,92.04923,8.22,1.9,46.0,23.0,5.9,39.6,1.66,0.04,1.89,0.59,0.012,Lab Analysis,Agency_5,1,Safe,149.0
Mangan Village,Sikkim,2023-01-08,WS_22892,Piped Supply,24.382952,89.084818,8.15,7.7,17.0,19.0,5.8,18.0,0.16,0.024,1.92,0.11,0.038,Water Testing Kit,Agency_1,1,Safe,
Champhai Rural,Mizoram,2023-01-09,WS_62159,Well,26.74927,94.996607,7.93,2.4,38.0,42.0,8.2,24.8,0.25,0.019,0.74,1.04,0.003,IoT Sensor,Agency_4,1,Safe,18.0
Zunheboto Village,Nagaland,2023-01-09,WS_31815,Pond,28.006832,96.499641,7.57,3.3,45.0,50.0,7.5,44.4,1.57,0.039,0.87,0.76,0.021,Water Testing Kit,Agency_8,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-01-09,WS_93407,Well,23.885499,96.834596,7.7,0.3,22.0,15.0,8.5,0.6,2.62,0.047,0.64,1.17,0.019,IoT Sensor,Agency_3,1,Safe,26.0
Khowai Village,Tripura,2023-01-09,WS_49076,River,26.191103,92.060339,6.86,2.1,43.0,6.0,5.6,8.7,0.21,0.034,0.64,0.24,0.05,Lab Analysis,Agency_8,1,Safe,
Pakyong Village,Sikkim,2023-01-09,WS_76457,Pond,28.502166,94.810948,7.54,2.6,50.0,62.0,6.2,38.2,0.45,0.023,1.24,0.18,0.041,Lab Analysis,Agency_8,1,Safe,
Jorhat Village,Assam,2023-01-09,WS_51728,Piped Supply,27.348333,94.742685,7.71,7.1,19.0,24.0,6.9,16.9,1.41,0.005,0.81,0.1,0.001,IoT Sensor,Agency_5,1,Safe,
Namchi Village,Sikkim,2023-01-09,WS_95827,Piped Supply,26.346843,92.695983,7.87,3.3,31.0,83.0,8.5,0.8,1.94,0.028,0.09,1.03,0.029,Water Testing Kit,Agency_6,1,Safe,
Amarpur Village,Tripura,2023-01-10,WS_71418,Well,23.111235,96.660025,7.69,6.9,49.0,2.0,6.9,36.1,2.39,0.027,0.45,0.88,0.049,IoT Sensor,Agency_5,1,Safe,138.0
Gyalshing Rural,Sikkim,2023-01-10,WS_51637,Pond,28.352481,96.185597,8.03,6.5,44.0,17.0,6.5,32.1,2.15,0.015,0.03,0.49,0.02,IoT Sensor,Agency_2,1,Safe,
Zunheboto Village,Nagaland,2023-01-10,WS_99018,Tube Well,27.154972,94.98173,7.21,3.8,32.0,71.0,7.6,43.3,2.25,0.038,1.63,0.46,0.018,Lab Analysis,Agency_6,1,Safe,140.0
Thoubal Village,Manipur,2023-01-10,WS_77232,Well,28.904845,88.593612,8.34,7.1,40.0,2.0,8.6,41.0,1.99,0.015,1.31,0.42,0.004,Water Testing Kit,Agency_7,1,Safe,111.0
Naharlagun Village,Arunachal Pradesh,2023-01-10,WS_74915,Pond,24.555442,90.270693,7.79,4.6,45.0,15.0,8.3,23.8,2.58,0.021,1.56,0.78,0.013,Water Testing Kit,Agency_9,1,Safe,
Udaipur Village,Tripura,2023-01-10,WS_85880,Well,26.819243,96.507292,6.77,4.6,14.0,99.0,6.4,36.9,0.74,0.009,1.8,0.8,0.03,IoT Sensor,Agency_4,1,Safe,80.0
Kiphire Village,Nagaland,2023-01-10,WS_58672,Piped Supply,24.995306,96.465023,8.29,6.7,0.0,31.0,6.6,30.5,0.92,0.016,0.34,1.4,0.04,Water Testing Kit,Agency_7,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-01-11,WS_42768,Spring,24.973144,95.255004,7.79,6.4,3.0,37.0,7.6,40.4,2.18,0.018,0.78,1.05,0.008,Lab Analysis,Agency_8,1,Safe,
Serchhip Village,Mizoram,2023-01-11,WS_46177,Well,25.998426,89.499269,7.32,3.5,20.0,7.0,5.5,2.8,0.16,0.004,1.74,0.28,0.029,Water Testing Kit,Agency_7,1,Safe,137.0
Jiribam Village,Manipur,2023-01-11,WS_20009,Pond,28.437768,93.629658,7.85,3.8,22.0,9.0,8.1,3.8,0.6,0.008,1.76,1.01,0.034,IoT Sensor,Agency_2,1,Safe,
Naharlagun Village,Arunachal Pradesh,2023-01-11,WS_99009,Well,27.446917,95.281986,8.39,7.0,39.0,40.0,8.3,9.8,1.76,0.037,1.25,1.18,0.018,IoT Sensor,Agency_2,1,Safe,173.0
Kailashahar Village,Tripura,2023-01-11,WS_39743,Piped Supply,26.089216,89.650094,8.05,2.9,34.0,55.0,8.3,37.5,0.2,0.015,1.11,0.4,0.041,Lab Analysis,Agency_2,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-01-11,WS_22241,Piped Supply,23.922389,89.730746,8.32,2.6,16.0,35.0,5.2,2.8,1.43,0.044,1.85,1.21,0.016,Lab Analysis,Agency_9,1,Safe,
Kailashahar Village,Tripura,2023-01-11,WS_87828,Pond,26.402303,88.860039,7.72,7.0,38.0,33.0,6.5,10.8,0.51,0.005,0.84,0.77,0.035,IoT Sensor,Agency_3,1,Safe,
Thoubal Village,Manipur,2023-01-12,WS_93034,Well,25.378075,94.669369,8.36,4.0,10.0,66.0,6.6,37.2,0.28,0.026,1.93,0.93,0.041,Lab Analysis,Agency_4,1,Safe,107.0
Namchi Village,Sikkim,2023-01-12,WS_31329,Well,26.525359,88.756074,7.63,3.9,48.0,14.0,7.2,36.2,1.2,0.037,1.86,0.29,0.011,Lab Analysis,Agency_7,1,Safe,66.0
Singtam Village,Sikkim,2023-01-12,WS_69290,Pond,24.191716,88.474192,8.05,3.0,38.0,60.0,7.7,14.5,0.63,0.013,0.74,0.53,0.02,IoT Sensor,Agency_9,1,Safe,
Khliehriat Village,Meghalaya,2023-01-12,WS_65463,Tube Well,24.059112,94.583442,5.67,84.4,429.0,814.0,1.8,92.0,24.3,1.58,1.74,0.07,0.035,IoT Sensor,Agency_3,0,High,140.0
Senapati Rural,Manipur,2023-01-12,WS_21324,Pond,25.033514,94.458335,6.68,4.8,43.0,8.0,7.5,23.0,1.0,0.005,1.89,0.5,0.037,Water Testing Kit,Agency_3,1,Safe,
Naharlagun Village,Arunachal Pradesh,2023-01-12,WS_11902,Well,23.353418,96.56408,7.06,5.5,24.0,12.0,8.8,15.1,1.97,0.037,1.16,1.07,0.023,IoT Sensor,Agency_9,1,Safe,76.0
Resubelpara Rural,Meghalaya,2023-01-12,WS_20081,Spring,23.598403,93.591727,8.22,7.3,29.0,37.0,6.4,42.0,2.88,0.022,1.06,1.07,0.018,Water Testing Kit,Agency_9,1,Safe,
Amarpur Village,Tripura,2023-01-13,WS_30707,Well,25.585108,93.447751,4.79,19.9,1117.0,2137.0,1.1,53.3,15.46,1.14,0.48,1.28,0.009,IoT Sensor,Agency_5,0,High,8.0
Jorhat Village,Assam,2023-01-13,WS_39124,Piped Supply,27.344028,96.061642,7.87,6.9,13.0,52.0,6.6,1.2,1.18,0.019,1.65,0.91,0.002,Water Testing Kit,Agency_4,1,Safe,
Champhai Rural,Mizoram,2023-01-13,WS_79669,Spring,24.212638,90.281101,7.71,6.2,32.0,92.0,6.9,23.9,0.11,0.045,0.97,0.99,0.022,IoT Sensor,Agency_2,1,Safe,
Tezpur Rural,Assam,2023-01-13,WS_15608,River,25.089253,89.834204,6.39,47.2,490.0,2504.0,2.0,108.7,16.26,0.63,1.77,1.29,0.008,Water Testing Kit,Agency_2,0,High,
Jiribam Village,Manipur,2023-01-13,WS_87725,Pond,23.840392,94.9899,7.49,3.8,44.0,64.0,5.9,5.0,2.8,0.008,1.81,0.18,0.003,Water Testing Kit,Agency_5,1,Safe,
Phek Rural,Nagaland,2023-01-13,WS_65993,Piped Supply,24.742949,91.265947,7.81,6.6,27.0,30.0,5.4,13.0,1.09,0.032,0.53,1.1,0.049,IoT Sensor,Agency_3,1,Safe,
Mangan Village,Sikkim,2023-01-13,WS_33158,Well,26.647724,93.167765,6.72,4.9,27.0,59.0,7.1,2.6,2.99,0.049,0.75,1.2,0.011,Water Testing Kit,Agency_7,1,Safe,166.0
Lawngtlai Village,Mizoram,2023-01-14,WS_90239,Pond,27.718845,94.046879,7.91,2.6,47.0,51.0,6.0,30.3,2.25,0.048,0.83,0.48,0.031,IoT Sensor,Agency_6,1,Safe,
Wokha Rural,Nagaland,2023-01-14,WS_34656,Pond,23.151866,89.520147,7.13,5.2,44.0,62.0,7.0,1.6,2.04,0.05,0.14,0.29,0.027,Lab Analysis,Agency_6,1,Safe,
Ziro Village,Arunachal Pradesh,2023-01-14,WS_21319,Pond,27.784483,89.085184,4.91,55.9,1393.0,1653.0,3.1,143.1,12.45,0.69,1.69,0.12,0.046,Lab Analysis,Agency_8,0,High,
Shillong Rural,Meghalaya,2023-01-14,WS_48819,Spring,24.885064,89.544422,4.8,50.7,1895.0,1607.0,2.7,128.2,11.6,1.42,1.58,0.34,0.037,Water Testing Kit,Agency_9,0,High,
Pasighat Rural,Arunachal Pradesh,2023-01-14,WS_97139,Well,27.710046,90.479429,8.08,5.8,41.0,40.0,9.0,16.5,2.42,0.018,1.45,0.09,0.038,IoT Sensor,Agency_6,1,Safe,157.0
Kohima Rural,Nagaland,2023-01-14,WS_39175,River,24.256684,92.172234,8.39,6.0,37.0,22.0,6.4,5.6,1.6,0.022,1.64,0.53,0.019,IoT Sensor,Agency_1,1,Safe,
Agartala Rural,Tripura,2023-01-14,WS_64636,Tube Well,24.317703,88.517006,8.21,2.6,44.0,90.0,7.8,40.3,2.24,0.007,1.53,0.8,0.039,Lab Analysis,Agency_2,1,Safe,176.0
Barpeta Village,Assam,2023-01-15,WS_69104,Tube Well,24.704194,95.13075,6.74,4.3,47.0,41.0,7.1,20.3,1.37,0.011,1.59,0.52,0.028,Water Testing Kit,Agency_4,1,Safe,74.0
Baghmara Rural,Meghalaya,2023-01-15,WS_64614,River,26.051988,88.5928,6.12,32.2,1610.0,1178.0,3.1,93.1,23.55,1.25,0.29,0.44,0.047,Water Testing Kit,Agency_9,0,High,
Silchar Village,Assam,2023-01-15,WS_75795,River,24.36306,89.692625,7.89,5.3,30.0,13.0,6.6,40.6,2.88,0.022,0.57,0.18,0.002,IoT Sensor,Agency_9,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-01-15,WS_84273,Tube Well,24.27385,94.308311,7.83,6.9,49.0,21.0,5.5,33.3,0.56,0.029,0.43,0.68,0.016,Water Testing Kit,Agency_6,1,Safe,122.0
Teliamura Rural,Tripura,2023-01-15,WS_75767,Well,25.356435,93.26213,8.45,6.1,12.0,72.0,6.2,33.9,2.56,0.017,0.75,0.36,0.05,IoT Sensor,Agency_7,1,Safe,5.0
Tawang Rural,Arunachal Pradesh,2023-01-15,WS_41117,Well,23.142585,89.866104,7.16,8.0,2.0,24.0,5.3,38.6,1.25,0.04,1.4,0.88,0.035,Water Testing Kit,Agency_8,1,Safe,118.0
Tezpur Village,Arunachal Pradesh,2023-01-15,WS_90348,Well,24.173915,93.191154,5.01,40.9,735.0,4214.0,3.3,124.4,13.89,0.82,0.77,0.52,0.044,IoT Sensor,Agency_6,0,High,130.0
Jiribam Village,Manipur,2023-01-16,WS_99042,Piped Supply,25.498247,89.588474,6.65,0.4,39.0,39.0,6.2,44.4,0.26,0.013,1.02,0.67,0.005,Lab Analysis,Agency_5,1,Safe,
Churachandpur Village,Manipur,2023-01-16,WS_33742,Well,27.032724,89.049986,8.13,2.2,7.0,41.0,8.9,0.5,1.51,0.033,1.53,0.94,0.049,Lab Analysis,Agency_3,1,Safe,82.0
Ziro Village,Arunachal Pradesh,2023-01-16,WS_63186,Well,28.175586,94.549019,5.89,46.7,1476.0,3917.0,3.7,114.1,6.92,0.14,1.08,1.43,0.047,IoT Sensor,Agency_2,0,High,97.0
Pasighat Rural,Arunachal Pradesh,2023-01-16,WS_14164,Well,28.343062,92.210051,7.3,6.4,34.0,76.0,5.1,19.3,2.57,0.024,0.63,0.6,0.012,Water Testing Kit,Agency_6,1,Safe,46.0
Mokokchung Rural,Nagaland,2023-01-16,WS_79329,River,27.605747,94.756503,7.12,5.1,14.0,11.0,9.0,7.9,0.57,0.042,0.4,1.41,0.04,Lab Analysis,Agency_6,1,Safe,
Imphal Rural,Manipur,2023-01-16,WS_48693,Piped Supply,24.49337,96.847425,6.68,7.5,13.0,89.0,8.7,22.1,1.24,0.014,1.69,0.03,0.021,Lab Analysis,Agency_4,1,Safe,
Shillong Rural,Meghalaya,2023-01-16,WS_12775,River,28.037939,91.664956,6.14,95.9,982.0,747.0,1.1,142.0,18.35,0.13,1.03,0.68,0.049,Lab Analysis,Agency_2,0,High,
Jiribam Village,Manipur,2023-01-17,WS_93429,Piped Supply,23.437902,95.310723,6.88,3.5,10.0,87.0,8.2,38.6,2.51,0.041,0.9,0.59,0.021,Water Testing Kit,Agency_4,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-01-17,WS_87828,Pond,24.426201,94.955254,5.42,18.0,1321.0,4150.0,3.2,120.4,16.31,0.15,0.69,0.75,0.039,Lab Analysis,Agency_5,0,High,
Jowai Rural,Meghalaya,2023-01-17,WS_35229,River,28.300487,93.068586,5.44,73.3,459.0,734.0,3.6,67.2,23.26,0.62,1.12,0.42,0.046,IoT Sensor,Agency_2,0,High,
Roing Village,Arunachal Pradesh,2023-01-17,WS_85920,Piped Supply,27.350357,95.469278,6.93,2.2,42.0,65.0,5.7,20.6,2.92,0.037,1.39,0.85,0.037,Lab Analysis,Agency_2,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-01-17,WS_25456,Spring,23.426168,96.294463,8.35,7.7,29.0,20.0,8.0,0.3,0.27,0.014,0.02,1.1,0.047,IoT Sensor,Agency_9,1,Safe,
Rangpo Rural,Sikkim,2023-01-17,WS_38857,Well,24.919821,92.070733,7.88,3.3,44.0,53.0,5.5,23.9,1.73,0.048,1.35,1.33,0.039,Water Testing Kit,Agency_6,1,Safe,109.0
Rangpo Rural,Sikkim,2023-01-17,WS_47637,River,24.410238,94.959496,8.48,7.0,2.0,94.0,5.4,20.1,0.89,0.008,1.41,1.12,0.035,IoT Sensor,Agency_9,1,Safe,
Kailashahar Village,Tripura,2023-01-18,WS_26636,Piped Supply,25.384116,90.364148,6.35,87.1,532.0,2691.0,2.5,100.1,20.19,1.35,1.09,0.86,0.038,Lab Analysis,Agency_3,0,High,
Tamenglong Rural,Manipur,2023-01-18,WS_52529,River,24.477358,95.314494,7.67,0.6,19.0,85.0,7.6,19.6,0.93,0.014,0.53,0.1,0.027,Water Testing Kit,Agency_3,1,Safe,
Karimganj Village,Assam,2023-01-18,WS_39970,Pond,25.464791,95.832981,7.87,7.1,4.0,4.0,6.7,37.3,1.23,0.044,0.95,1.14,0.039,IoT Sensor,Agency_9,1,Safe,
Kolasib Rural,Mizoram,2023-01-18,WS_72372,Pond,27.544119,95.26961,7.19,5.0,10.0,26.0,6.8,14.2,0.39,0.024,1.83,0.77,0.042,Water Testing Kit,Agency_6,1,Safe,
Ziro Village,Arunachal Pradesh,2023-01-18,WS_48414,River,25.17972,95.406847,5.32,32.6,646.0,1561.0,3.3,126.2,20.86,1.77,1.47,1.35,0.007,Water Testing Kit,Agency_1,0,High,
Guwahati Rural,Assam,2023-01-18,WS_93313,Well,27.000423,89.624669,7.67,4.5,32.0,38.0,5.8,36.3,1.15,0.049,0.54,0.35,0.003,Water Testing Kit,Agency_8,1,Safe,107.0
