village,state,date,season,month,daily_rainfall_mm,weekly_rainfall_mm,monthly_rainfall_mm,temperature_celsius,max_temperature_celsius,min_temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction,atmospheric_pressure_hpa,solar_radiation_mj_m2,evaporation_rate_mm,flood_risk_level,drought_indicator,weather_station_id,data_source
Karimganj Village,Assam,2023-01-02,Winter,1,0.1,0.6,58.1,20.3,26.1,16.3,70.5,23.1,E,1017.9,28.3,10.4,Low,No,WS_8021,IMD
Lawngtlai Village,Mizoram,2023-01-02,Winter,1,0.0,0.0,74.7,20.8,23.7,17.6,66.3,14.2,S,1012.4,25.8,3.5,Medium,Mild,WS_1219,Satellite
Roing Village,Arunachal Pradesh,2023-01-02,Winter,1,2.0,13.7,58.6,21.5,26.1,19.1,74.9,7.4,NW,1012.9,28.3,11.7,Low,Mild,WS_4877,IMD
Tuensang Village,Nagaland,2023-01-02,Winter,1,2.9,20.1,77.8,23.2,29.3,21.0,51.0,6.1,W,1013.6,16.2,12.0,Low,Mild,WS_1475,Local Station
Guwahati Rural,Assam,2023-01-03,Winter,1,2.6,15.9,35.8,17.4,24.9,13.4,65.0,14.8,S,1010.2,29.7,9.7,Medium,Moderate,WS_2725,Satellite
Silchar Village,Assam,2023-01-03,Winter,1,1.7,10.2,62.6,15.6,19.1,10.6,50.6,4.2,SE,1013.1,18.2,4.4,Medium,Mild,WS_2085,Satellite
Itanagar Rural,Arunachal Pradesh,2023-01-03,Winter,1,9.5,68.4,17.0,12.3,15.7,9.5,61.1,10.1,NE,1017.2,24.0,10.4,Low,Severe,WS_5672,IMD
Gangtok Rural,Sikkim,2023-01-03,Winter,1,0.1,0.6,54.9,13.3,21.0,9.3,65.2,23.7,W,1007.5,29.7,9.8,Low,No,WS_8065,Satellite
Tawang Rural,Arunachal Pradesh,2023-01-03,Winter,1,1.3,8.8,58.8,16.0,18.8,12.7,61.0,17.1,SE,1017.5,15.6,11.9,Low,No,WS_3152,IMD
Tamenglong Rural,Manipur,2023-01-03,Winter,1,0.6,4.3,38.2,18.6,23.9,14.7,59.9,18.7,NW,1003.5,15.8,11.7,Medium,No,WS_7798,Local Station
Pasighat Rural,Arunachal Pradesh,2023-01-03,Winter,1,1.8,10.5,71.7,18.1,24.2,13.1,69.7,21.8,W,1009.0,20.0,7.5,Low,No,WS_6682,IMD
Khliehriat Village,Meghalaya,2023-01-04,Winter,1,2.2,15.7,28.2,22.0,27.8,17.1,62.4,4.8,SE,1002.0,28.8,5.8,Medium,No,WS_4617,Local Station
Williamnagar Village,Meghalaya,2023-01-04,Winter,1,2.2,17.7,77.6,14.4,18.8,10.1,52.9,8.6,S,1005.0,29.4,2.1,Medium,No,WS_4561,IMD
Kailashahar Village,Tripura,2023-01-04,Winter,1,0.2,1.2,29.2,13.8,17.8,9.2,51.2,20.5,SE,1012.7,15.5,8.3,Low,No,WS_1956,IMD
Teliamura Rural,Tripura,2023-01-04,Winter,1,1.8,11.6,40.7,16.2,20.7,14.0,60.5,16.1,E,1008.5,23.3,3.1,Medium,No,WS_1612,Local Station
Silchar Village,Assam,2023-01-04,Winter,1,1.4,9.9,18.5,19.1,23.5,16.2,56.3,16.1,NE,1015.4,28.5,2.3,Low,No,WS_4937,Local Station
Lunglei Village,Mizoram,2023-01-04,Winter,1,0.1,0.7,57.5,20.6,26.3,16.6,72.3,14.1,E,1011.5,22.8,8.8,Medium,No,WS_2314,Satellite
Silchar Village,Assam,2023-01-04,Winter,1,1.5,10.6,74.9,13.6,19.0,7.8,51.7,8.2,W,1013.1,16.7,11.7,Low,No,WS_1730,Local Station
Itanagar Rural,Arunachal Pradesh,2023-01-05,Winter,1,8.2,64.8,20.8,22.8,28.2,19.0,64.8,3.5,NE,1007.7,26.6,4.1,Medium,Moderate,WS_7884,Satellite
Silchar Village,Assam,2023-01-05,Winter,1,0.2,1.2,37.4,17.4,21.3,15.1,57.4,4.8,W,1014.9,28.5,7.0,Low,Moderate,WS_3205,Local Station
Jorhat Village,Assam,2023-01-05,Winter,1,1.2,7.9,29.3,24.9,28.7,19.9,55.8,5.4,SE,1009.4,22.8,3.8,High,Moderate,WS_4264,IMD
Tezpur Rural,Assam,2023-01-05,Winter,1,0.7,4.6,38.2,15.4,22.9,10.8,70.4,22.9,SW,1015.5,25.5,7.9,Medium,Moderate,WS_7048,IMD
Gyalshing Rural,Sikkim,2023-01-05,Winter,1,0.8,5.7,44.6,18.2,21.1,15.2,72.9,13.7,SW,1016.9,16.9,7.7,Medium,Mild,WS_7595,IMD
Kohima Rural,Nagaland,2023-01-05,Winter,1,3.9,25.6,72.9,24.1,30.3,19.2,52.8,7.0,SE,1007.7,28.0,3.2,Low,No,WS_4237,Satellite
Khowai Village,Tripura,2023-01-05,Winter,1,0.9,6.5,39.3,12.8,18.7,10.8,68.3,19.7,W,1016.4,25.7,7.9,High,No,WS_7027,IMD
Kolasib Rural,Mizoram,2023-01-06,Winter,1,0.0,0.0,59.3,17.0,22.1,14.2,51.6,24.4,N,1003.0,22.3,4.7,Low,No,WS_2964,Local Station
Tamenglong Rural,Manipur,2023-01-06,Winter,1,2.4,15.9,33.8,24.2,28.9,19.3,65.6,4.9,W,1019.5,23.5,9.0,Low,No,WS_2931,Local Station
Namchi Village,Sikkim,2023-01-06,Winter,1,0.1,0.6,24.3,20.4,23.3,14.9,58.4,14.0,NW,1013.2,28.6,9.9,Low,Moderate,WS_7935,Local Station
Tura Village,Meghalaya,2023-01-06,Winter,1,4.7,30.2,22.7,20.1,25.5,17.8,74.8,7.1,SE,1009.4,16.5,4.6,Medium,No,WS_3720,IMD
Tuensang Village,Nagaland,2023-01-06,Winter,1,0.3,2.2,65.2,13.6,16.0,7.9,74.3,12.7,SW,1015.0,23.1,9.6,Low,No,WS_5662,Local Station
Singtam Village,Sikkim,2023-01-06,Winter,1,3.0,16.8,73.4,21.7,26.9,19.7,74.6,12.0,NW,1001.7,28.6,10.1,Medium,Mild,WS_2784,IMD
Hnahthial Village,Mizoram,2023-01-06,Winter,1,0.0,0.0,16.3,15.8,18.5,12.1,55.3,17.2,SW,1020.0,24.9,2.0,Medium,Mild,WS_1247,IMD
Zunheboto Village,Nagaland,2023-01-07,Winter,1,1.7,9.9,13.4,12.4,19.0,10.3,53.9,2.1,E,1009.8,20.8,2.6,Low,No,WS_5629,Satellite
Tuensang Village,Nagaland,2023-01-07,Winter,1,0.9,7.5,44.5,19.8,27.8,17.4,54.5,11.1,N,1005.9,26.6,9.8,Low,No,WS_3541,IMD
Zunheboto Village,Nagaland,2023-01-07,Winter,1,0.2,1.4,76.9,17.7,20.7,13.2,50.7,11.2,N,1009.4,26.1,4.3,Low,No,WS_4730,Local Station
Shillong Rural,Meghalaya,2023-01-07,Winter,1,2.4,17.1,53.6,19.3,26.7,14.6,50.6,16.3,N,1009.0,27.8,8.6,Low,No,WS_8802,Local Station
Teliamura Rural,Tripura,2023-01-07,Winter,1,1.6,11.6,53.1,17.7,21.0,14.4,68.3,18.4,E,1006.8,25.8,5.4,Low,No,WS_5711,Local Station
Jorethang Rural,Sikkim,2023-01-07,Winter,1,0.0,0.0,64.5,16.4,19.7,13.5,64.7,2.6,E,1004.2,17.9,4.6,Medium,No,WS_1609,IMD
Nongpoh Village,Meghalaya,2023-01-07,Winter,1,0.1,0.8,79.2,15.7,23.2,11.4,50.1,20.3,NE,1005.0,27.8,4.6,Medium,Mild,WS_2678,Local Station
Churachandpur Village,Manipur,2023-01-08,Winter,1,2.1,15.9,63.0,18.1,20.8,15.2,56.7,8.4,NE,1000.0,16.1,3.4,Medium,Mild,WS_4168,IMD
Tuensang Village,Nagaland,2023-01-08,Winter,1,13.0,100.3,44.8,13.6,20.2,7.8,52.4,5.7,E,1003.6,26.3,11.7,Medium,No,WS_2262,Local Station
Williamnagar Village,Meghalaya,2023-01-08,Winter,1,0.5,3.8,52.5,20.3,23.3,16.3,69.0,16.9,NW,1014.4,25.7,2.5,Low,No,WS_2484,IMD
Imphal Rural,Manipur,2023-01-08,Winter,1,0.8,4.8,43.0,18.6,24.7,14.7,69.6,9.1,SW,1015.2,17.7,9.1,Low,No,WS_4079,IMD
Hnahthial Village,Mizoram,2023-01-08,Winter,1,0.2,1.6,57.0,14.7,20.2,9.7,61.2,22.1,NW,1004.8,28.1,4.9,Medium,No,WS_9754,IMD
Namchi Village,Sikkim,2023-01-08,Winter,1,6.0,34.4,25.5,20.2,25.8,14.7,52.1,6.2,S,1011.1,22.3,4.2,Medium,No,WS_5414,IMD
Karimganj Village,Assam,2023-01-08,Winter,1,3.7,28.3,25.5,12.3,15.5,9.9,63.1,16.5,NE,1005.5,21.3,6.6,Low,No,WS_3726,IMD
Dibrugarh Rural,Assam,2023-01-09,Winter,1,1.5,12.4,11.9,19.4,23.9,13.7,59.6,14.9,SW,1012.8,15.6,7.4,High,Mild,WS_7857,Local Station
Phek Rural,Nagaland,2023-01-09,Winter,1,0.0,0.0,71.7,12.9,15.6,10.2,57.5,21.7,E,1012.5,16.7,8.0,Low,Mild,WS_6042,Local Station
Dimapur Village,Nagaland,2023-01-09,Winter,1,0.2,1.4,10.7,20.5,26.0,15.1,73.3,2.5,S,1008.0,17.6,8.5,Low,No,WS_3137,IMD
Dibrugarh Rural,Assam,2023-01-09,Winter,1,2.3,19.1,15.7,20.9,27.1,17.9,54.9,17.2,S,1005.6,23.9,3.6,Low,No,WS_2356,IMD
Roing Village,Arunachal Pradesh,2023-01-09,Winter,1,0.4,2.5,27.5,23.5,27.0,19.8,56.8,4.4,S,1019.8,20.8,8.6,Medium,Moderate,WS_1946,IMD
Nagaon Rural,Assam,2023-01-09,Winter,1,0.5,3.2,11.1,24.2,28.6,18.9,69.2,9.3,W,1016.8,20.1,5.2,Low,Mild,WS_9797,Satellite
Roing Village,Arunachal Pradesh,2023-01-09,Winter,1,0.5,4.1,26.4,17.8,20.2,15.4,56.5,19.0,SE,1013.3,16.8,10.0,Low,Moderate,WS_3160,IMD
Silchar Village,Assam,2023-01-10,Winter,1,10.0,67.7,64.2,19.7,25.7,17.6,55.5,21.8,W,1000.9,15.2,6.4,Low,No,WS_8134,IMD
Saitual Rural,Mizoram,2023-01-10,Winter,1,1.2,8.5,55.1,12.1,14.7,7.6,69.2,8.9,NW,1007.2,26.2,11.8,Medium,Moderate,WS_8854,IMD
Tamenglong Rural,Manipur,2023-01-10,Winter,1,0.0,0.0,25.0,19.8,22.5,16.0,55.4,8.8,NW,1018.7,24.8,9.8,High,Mild,WS_2296,Satellite
Dibrugarh Rural,Assam,2023-01-10,Winter,1,0.5,3.7,77.8,20.0,25.1,15.1,70.2,14.4,S,1009.8,25.9,5.2,Low,Mild,WS_9899,Satellite
Barpeta Village,Assam,2023-01-10,Winter,1,0.9,5.6,12.4,15.7,22.1,10.9,52.3,7.8,E,1006.8,24.3,2.6,High,Mild,WS_5303,IMD
Barpeta Village,Assam,2023-01-10,Winter,1,1.7,12.2,56.8,18.1,25.8,15.9,60.7,7.8,NE,1007.7,24.9,6.0,Medium,Mild,WS_4271,Local Station
Tuensang Village,Nagaland,2023-01-10,Winter,1,2.5,20.8,13.4,16.5,19.5,11.3,53.0,11.9,N,1007.4,23.9,8.8,Medium,No,WS_1577,IMD
Barpeta Village,Assam,2023-01-11,Winter,1,0.3,2.4,71.3,24.5,29.1,19.7,60.1,17.1,E,1006.1,21.7,8.2,Low,Mild,WS_2502,Satellite
Tawang Rural,Arunachal Pradesh,2023-01-11,Winter,1,0.2,1.1,54.2,20.5,25.7,17.1,71.9,14.2,NW,1001.5,29.0,5.4,Low,Severe,WS_4081,IMD
Jorhat Village,Assam,2023-01-11,Winter,1,0.5,3.7,14.6,16.2,23.9,14.0,66.8,16.1,W,1013.0,23.4,3.8,Low,Mild,WS_1026,IMD
Bomdila Rural,Arunachal Pradesh,2023-01-11,Winter,1,0.0,0.0,52.9,18.5,20.5,13.8,57.9,24.5,S,1012.4,28.3,5.1,High,Severe,WS_7397,IMD
Rangpo Rural,Sikkim,2023-01-11,Winter,1,0.4,3.2,24.5,19.0,21.6,16.2,63.4,14.2,NW,1017.2,15.0,4.7,Low,No,WS_2719,Satellite
Mokokchung Rural,Nagaland,2023-01-11,Winter,1,1.4,8.6,19.4,17.2,24.9,12.5,70.6,5.5,E,1003.5,20.7,11.3,Low,No,WS_4622,IMD
Roing Village,Arunachal Pradesh,2023-01-11,Winter,1,4.1,33.8,78.2,13.5,21.4,8.9,72.9,10.7,SE,1010.1,27.8,8.8,Low,No,WS_2921,IMD
Champhai Rural,Mizoram,2023-01-12,Winter,1,4.0,32.8,61.5,22.6,27.2,17.7,72.3,5.4,SE,1017.5,24.7,11.2,Medium,No,WS_8581,IMD
Dibrugarh Rural,Assam,2023-01-12,Winter,1,2.2,12.8,79.4,14.7,19.0,9.2,72.3,12.7,S,1000.5,29.7,10.7,High,No,WS_8577,Satellite
Dimapur Village,Nagaland,2023-01-12,Winter,1,1.3,8.9,25.9,13.8,20.7,10.5,70.0,23.2,NE,1004.6,19.8,9.4,Low,No,WS_2186,Local Station
Kolasib Rural,Mizoram,2023-01-12,Winter,1,0.3,2.4,25.7,13.1,16.2,8.7,66.1,4.4,S,1007.9,25.0,3.6,Low,No,WS_5359,Local Station
Teliamura Rural,Tripura,2023-01-12,Winter,1,0.1,0.7,37.3,14.4,19.6,9.2,62.2,8.4,NE,1006.9,23.6,10.5,Low,No,WS_4620,Satellite
Dibrugarh Rural,Assam,2023-01-12,Winter,1,0.4,3.2,73.6,12.1,14.5,9.8,65.1,22.0,W,1003.4,27.2,8.5,Low,Mild,WS_2649,IMD
Belonia Rural,Tripura,2023-01-12,Winter,1,2.6,20.4,12.0,12.6,19.6,6.9,64.5,5.0,SE,1012.6,23.5,10.0,Low,No,WS_6677,Satellite
Kohima Rural,Nagaland,2023-01-13,Winter,1,0.1,0.6,36.2,15.9,20.0,11.6,69.2,8.9,E,1003.0,18.6,7.4,Low,No,WS_8653,Satellite
Baghmara Rural,Meghalaya,2023-01-13,Winter,1,1.0,6.9,77.0,12.7,14.8,9.3,50.1,8.6,W,1014.9,27.7,7.8,Medium,No,WS_2147,Satellite
Belonia Rural,Tripura,2023-01-13,Winter,1,0.5,3.5,32.0,22.3,28.9,19.2,72.5,14.3,NW,1006.4,24.7,3.4,Medium,Moderate,WS_6181,IMD
Jiribam Village,Manipur,2023-01-13,Winter,1,0.9,7.2,52.6,24.0,26.2,20.9,61.2,22.3,S,1009.3,17.4,8.0,Low,No,WS_1864,IMD
Gangtok Rural,Sikkim,2023-01-13,Winter,1,0.6,4.7,69.6,16.3,22.1,12.2,67.6,7.7,SW,1003.6,27.1,3.3,Medium,Mild,WS_6119,IMD
Gangtok Rural,Sikkim,2023-01-13,Winter,1,0.0,0.0,65.8,21.0,25.8,17.9,67.7,21.9,NE,1014.0,20.3,4.4,Low,No,WS_5753,Local Station
Gangtok Rural,Sikkim,2023-01-13,Winter,1,0.6,4.5,29.3,22.7,26.2,19.6,59.9,24.5,S,1012.0,15.2,10.2,High,No,WS_4964,Satellite
Amarpur Village,Tripura,2023-01-14,Winter,1,10.2,68.0,72.2,20.1,23.8,17.5,73.8,20.3,SE,1013.6,28.4,10.1,Low,No,WS_3227,IMD
Saitual Rural,Mizoram,2023-01-14,Winter,1,1.3,10.7,18.3,16.6,19.1,13.3,67.8,8.2,W,1013.9,29.9,6.2,High,No,WS_8427,IMD
Jorhat Village,Assam,2023-01-14,Winter,1,0.0,0.0,31.3,24.4,32.4,20.0,65.8,19.6,NE,1008.7,19.0,9.7,Low,No,WS_2610,Local Station
Zunheboto Village,Nagaland,2023-01-14,Winter,1,2.0,15.7,19.1,24.3,29.5,21.9,67.6,4.3,SE,1011.5,15.6,6.0,Medium,No,WS_8588,Local Station
Khliehriat Village,Meghalaya,2023-01-14,Winter,1,3.8,24.9,37.9,20.3,27.8,15.6,63.0,3.8,SE,1015.9,22.8,8.1,Low,No,WS_6137,Satellite
Senapati Rural,Manipur,2023-01-14,Winter,1,0.8,4.6,74.9,17.1,22.9,11.7,55.8,23.7,S,1001.1,22.3,9.8,Medium,No,WS_4214,IMD
Wokha Rural,Nagaland,2023-01-14,Winter,1,0.2,1.2,62.3,20.8,23.2,16.8,57.8,9.4,E,1013.2,25.6,9.2,Low,No,WS_2647,Satellite
Gyalshing Rural,Sikkim,2023-01-15,Winter,1,16.3,115.2,67.0,12.3,18.0,9.5,71.6,15.4,NE,1013.1,21.0,11.4,Low,No,WS_3741,Local Station
Champhai Rural,Mizoram,2023-01-15,Winter,1,0.6,4.3,48.8,15.4,20.1,9.9,69.7,15.9,NE,1019.1,19.3,11.7,High,No,WS_3228,Satellite
Imphal Rural,Manipur,2023-01-15,Winter,1,0.0,0.0,55.1,22.7,24.9,20.4,59.0,7.6,N,1003.5,23.0,4.7,Medium,No,WS_6581,IMD
Lunglei Village,Mizoram,2023-01-15,Winter,1,2.5,20.1,64.1,17.3,24.1,13.8,66.1,16.7,N,1007.3,16.7,6.3,Low,No,WS_1171,Satellite
Tezpur Rural,Assam,2023-01-15,Winter,1,1.5,11.8,26.4,21.9,25.1,16.9,63.8,6.8,W,1005.2,20.7,7.3,Low,Moderate,WS_8122,IMD
Singtam Village,Sikkim,2023-01-15,Winter,1,4.5,33.9,37.1,12.4,18.0,9.4,62.9,23.7,N,1003.2,18.8,9.0,Medium,No,WS_5838,IMD
Silchar Village,Assam,2023-01-15,Winter,1,5.0,36.0,13.5,13.1,17.3,8.5,57.0,15.2,E,1018.7,16.5,10.3,Low,Moderate,WS_6139,Local Station
Dibrugarh Rural,Assam,2023-01-16,Winter,1,0.3,2.3,63.6,19.6,22.7,16.2,64.6,2.6,E,1009.3,20.5,2.4,High,No,WS_9262,Local Station
Kohima Rural,Nagaland,2023-01-16,Winter,1,0.8,6.1,20.6,12.5,17.2,6.7,66.4,3.5,SW,1005.9,16.7,7.8,High,No,WS_7834,IMD
Agartala Rural,Tripura,2023-01-16,Winter,1,6.4,41.1,58.2,15.8,22.2,12.1,59.3,14.6,NE,1008.5,22.9,8.8,Medium,Mild,WS_5898,Satellite
Lawngtlai Village,Mizoram,2023-01-16,Winter,1,3.4,20.0,55.5,24.9,30.5,21.0,57.7,12.4,W,1003.0,28.1,7.5,Low,No,WS_1784,IMD
Tura Village,Meghalaya,2023-01-16,Winter,1,1.3,8.5,23.9,22.7,26.5,17.1,61.4,14.0,SE,1008.1,24.1,10.1,Low,No,WS_4287,IMD
Namchi Village,Sikkim,2023-01-16,Winter,1,0.7,4.8,10.3,15.1,18.1,10.7,71.5,4.8,NW,1016.8,23.4,4.7,Low,No,WS_5456,IMD
Nongpoh Village,Meghalaya,2023-01-16,Winter,1,5.2,38.3,78.7,25.0,28.6,21.5,55.8,7.8,S,1017.0,17.1,2.0,High,No,WS_2808,Local Station
Lawngtlai Village,Mizoram,2023-01-17,Winter,1,1.5,11.9,73.5,14.9,22.3,9.0,72.4,24.0,N,1006.0,27.8,4.7,Low,No,WS_7067,Local Station
Teliamura Rural,Tripura,2023-01-17,Winter,1,2.7,22.6,20.7,12.2,18.3,7.4,52.8,19.3,E,1001.1,24.1,8.0,Low,No,WS_4989,IMD
Resubelpara Rural,Meghalaya,2023-01-17,Winter,1,3.9,26.8,18.6,21.1,23.4,17.5,73.0,22.9,S,1001.3,20.9,4.9,Low,No,WS_4373,Satellite
Mokokchung Rural,Nagaland,2023-01-17,Winter,1,1.0,6.3,34.7,22.6,30.2,16.6,55.5,9.5,W,1005.4,28.5,4.9,Low,Moderate,WS_6532,IMD
Barpeta Village,Assam,2023-01-17,Winter,1,2.8,23.3,62.0,18.9,25.3,15.2,62.9,20.9,S,1013.8,26.9,4.1,Low,No,WS_6536,Satellite
Khowai Village,Tripura,2023-01-17,Winter,1,1.0,8.2,23.2,18.7,22.0,13.8,60.0,17.3,NW,1012.1,27.9,3.7,Medium,No,WS_6228,Local Station
Ziro Village,Arunachal Pradesh,2023-01-17,Winter,1,3.5,28.8,34.0,23.3,29.1,19.6,70.9,17.7,E,1006.1,18.1,2.5,Low,Mild,WS_1438,IMD
Jorethang Rural,Sikkim,2023-01-18,Winter,1,1.1,8.5,29.7,23.4,29.3,20.5,60.1,24.1,NE,1000.7,18.6,2.4,Low,No,WS_9896,Satellite
Tezpur Rural,Assam,2023-01-18,Winter,1,0.3,1.8,74.3,14.7,17.0,9.8,65.2,16.0,N,1000.8,26.7,9.9,High,No,WS_9807,Local Station
Agartala Rural,Tripura,2023-01-18,Winter,1,1.2,7.4,27.4,18.7,21.8,14.3,70.9,19.6,S,1010.2,20.1,2.1,Medium,No,WS_4233,IMD
Mokokchung Rural,Nagaland,2023-01-18,Winter,1,1.1,7.1,25.8,13.4,21.0,9.0,52.7,16.5,N,1015.7,16.2,4.2,Medium,Mild,WS_8217,Satellite
Jorhat Village,Assam,2023-01-18,Winter,1,1.6,10.0,63.0,12.6,16.3,9.1,59.6,12.3,N,1017.8,23.4,11.4,Low,Mild,WS_7746,IMD
Lawngtlai Village,Mizoram,2023-01-18,Winter,1,0.9,6.9,35.8,21.8,27.9,17.9,63.7,23.7,N,1019.6,24.4,11.2,Medium,No,WS_6539,Local Station
Kailashahar Village,Tripura,2023-01-18,Winter,1,3.3,25.0,34.9,20.6,28.1,18.4,61.1,20.9,N,1013.1,15.7,8.1,Medium,No,WS_1166,Satellite
Itanagar Rural,Arunachal Pradesh,2023-01-19,Winter,1,2.1,12.8,71.1,17.8,22.4,12.6,61.8,18.3,NW,1003.2,17.0,8.2,Low,No,WS_5462,IMD
Tamenglong Rural,Manipur,2023-01-19,Winter,1,0.2,1.6,32.3,18.1,23.3,15.0,63.1,23.7,NW,1009.4,27.9,10.5,Medium,No,WS_6314,IMD
Tura Village,Meghalaya,2023-01-19,Winter,1,2.7,16.5,52.5,13.4,18.0,10.1,74.3,18.4,N,1005.7,28.3,6.5,Low,Moderate,WS_7950,Local Station
Saitual Rural,Mizoram,2023-01-19,Winter,1,0.5,3.7,19.9,14.8,16.9,10.7,61.9,19.7,SE,1015.7,24.2,11.1,Medium,No,WS_6410,IMD
Shillong Rural,Meghalaya,2023-01-19,Winter,1,0.9,7.3,17.7,22.9,30.8,19.2,64.3,11.1,S,1018.6,15.4,11.3,Medium,No,WS_6213,IMD
Pakyong Village,Sikkim,2023-01-19,Winter,1,3.1,20.8,26.1,15.8,21.6,10.5,68.7,20.5,SW,1008.7,17.9,7.7,Low,No,WS_8774,IMD
Belonia Rural,Tripura,2023-01-19,Winter,1,1.9,14.1,47.0,22.5,25.6,17.7,67.4,10.1,W,1012.8,19.8,9.2,Low,No,WS_7348,IMD
Kolasib Rural,Mizoram,2023-01-20,Winter,1,0.3,1.8,70.9,14.3,17.4,11.2,73.6,15.9,E,1010.4,20.4,5.2,Medium,No,WS_6704,IMD
Lawngtlai Village,Mizoram,2023-01-20,Winter,1,5.4,40.9,27.1,19.0,24.1,14.3,72.1,17.2,NE,1007.5,21.4,11.0,Low,Mild,WS_8997,Satellite
Lawngtlai Village,Mizoram,2023-01-20,Winter,1,0.9,6.6,23.6,14.3,19.4,11.0,58.7,15.4,NE,1017.7,29.0,8.0,Medium,Mild,WS_2910,IMD
Hnahthial Village,Mizoram,2023-01-20,Winter,1,4.9,36.9,62.3,12.9,19.2,10.2,66.5,19.6,SE,1002.0,26.6,7.9,Low,Mild,WS_2800,IMD
Udaipur Village,Tripura,2023-01-20,Winter,1,1.2,8.2,67.5,23.8,30.6,18.8,55.7,23.0,SW,1005.8,28.2,10.6,High,Moderate,WS_7672,Satellite
Hnahthial Village,Mizoram,2023-01-20,Winter,1,3.1,22.5,25.5,24.3,30.2,18.4,56.1,14.5,NE,1004.9,25.9,3.7,Medium,Mild,WS_3943,Local Station
Ziro Village,Arunachal Pradesh,2023-01-20,Winter,1,4.6,37.3,37.6,20.2,27.7,14.3,71.0,9.7,N,1012.4,15.9,11.3,Low,No,WS_6052,IMD
Williamnagar Village,Meghalaya,2023-01-21,Winter,1,0.0,0.0,68.9,21.7,26.7,17.3,69.0,11.3,S,1000.5,19.8,6.6,Low,Mild,WS_9465,Satellite
Williamnagar Village,Meghalaya,2023-01-21,Winter,1,1.4,9.6,72.7,19.8,25.1,16.2,60.2,15.2,SW,1003.3,25.5,2.4,Low,No,WS_9515,IMD
Mangan Village,Sikkim,2023-01-21,Winter,1,4.4,34.0,52.6,18.8,22.5,15.3,73.8,20.5,NE,1008.3,26.9,6.1,Medium,No,WS_1531,Satellite
Rangpo Rural,Sikkim,2023-01-21,Winter,1,1.5,8.8,39.2,21.4,26.9,19.3,69.8,14.6,S,1000.7,22.6,11.0,Medium,No,WS_2492,IMD
Champhai Rural,Mizoram,2023-01-21,Winter,1,8.9,66.1,65.7,14.7,21.0,10.6,69.3,9.7,NE,1012.2,21.7,4.5,Low,No,WS_4961,IMD
Saitual Rural,Mizoram,2023-01-21,Winter,1,0.4,2.3,64.7,21.3,29.3,18.4,53.4,2.1,NE,1011.8,28.0,2.7,Low,No,WS_4485,Satellite
Senapati Rural,Manipur,2023-01-21,Winter,1,0.5,3.7,28.6,19.1,26.1,16.0,66.4,4.1,E,1002.9,16.8,8.5,Low,Mild,WS_6907,Local Station
Zunheboto Village,Nagaland,2023-01-22,Winter,1,1.1,7.7,69.2,14.9,21.6,12.5,65.4,24.8,NW,1015.9,19.5,9.8,Low,No,WS_2214,Local Station
Udaipur Village,Tripura,2023-01-22,Winter,1,0.4,2.7,15.4,19.4,22.9,16.6,60.5,6.6,NW,1016.5,26.3,5.0,Low,No,WS_6619,Local Station
