village,state,date,outbreak,outbreak_type,risk_level,risk_score,total_diarrhea_cases,total_fever_cases,total_vomiting_cases,total_affected_population,water_contaminated,flooding_occurred,high_rainfall_event,outbreak_duration_days,cases_hospitalized,cases_recovered,intervention_needed,alert_level,reported_by,verification_status
Tamenglong Rural,Manipur,2023-01-03,0,None,Low,10.9,2,3,2,9,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Khliehriat Village,Meghalaya,2023-01-03,0,None,Medium,22.4,2,4,2,13,0,0,1,0,0,0,0,Green,Community Leader,Verified
Itanagar Rural,Arunachal Pradesh,2023-01-03,0,None,Medium,22.1,1,1,3,10,1,0,0,0,0,0,0,Green,ASHA Worker,Verified
Gyalshing Rural,Sikkim,2023-01-03,0,None,Low,4.7,1,1,1,4,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Kolasib Rural,Mizoram,2023-01-03,0,None,Low,10.7,4,1,1,10,0,0,0,0,0,0,0,Red,Community Leader,Verified
Serchhip Village,Mizoram,2023-01-03,0,None,Medium,26.7,3,3,1,14,1,0,0,0,0,0,1,Yellow,District Health Office,Under Investigation
Khowai Village,Tripura,2023-01-03,0,None,Low,12.6,3,2,3,18,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Champhai Rural,Mizoram,2023-01-04,0,None,Low,10.7,4,1,1,10,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Dibrugarh Rural,Assam,2023-01-04,0,None,Low,11.7,3,3,1,12,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Barpeta Village,Assam,2023-01-04,0,None,Low,14.1,0,7,3,16,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Naharlagun Village,Arunachal Pradesh,2023-01-04,0,None,Medium,16.4,4,4,2,24,0,0,0,0,0,0,0,Green,Clinic,Verified
Tamenglong Rural,Manipur,2023-01-04,0,None,Medium,15.4,5,2,2,18,0,0,0,0,0,0,0,Green,Clinic,Pending
Agartala Rural,Tripura,2023-01-04,0,None,Low,9.0,3,2,0,9,0,0,0,0,0,0,0,Green,District Health Office,Verified
Tamenglong Rural,Manipur,2023-01-04,0,None,High,32.3,4,3,4,20,1,0,0,0,0,0,1,Orange,Community Leader,Under Investigation
Dharmanagar Rural,Tripura,2023-01-05,0,None,Low,7.4,1,2,2,11,0,0,0,0,0,0,0,Green,Clinic,Under Investigation
Bomdila Rural,Arunachal Pradesh,2023-01-05,0,None,Medium,15.2,4,4,1,20,0,0,0,0,0,0,0,Green,District Health Office,Verified
Resubelpara Rural,Meghalaya,2023-01-05,0,None,Medium,17.1,6,1,3,14,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Ziro Village,Arunachal Pradesh,2023-01-05,0,None,Low,13.9,5,1,2,9,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Naharlagun Village,Arunachal Pradesh,2023-01-05,0,None,Medium,15.9,6,1,2,17,0,0,0,0,0,0,0,Red,District Health Office,Verified
Aizawl Rural,Mizoram,2023-01-05,0,None,Medium,19.7,1,1,1,3,1,0,0,0,0,0,0,Yellow,District Health Office,Verified
Rangpo Rural,Sikkim,2023-01-05,0,None,Medium,22.9,2,1,2,11,1,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Jowai Rural,Meghalaya,2023-01-06,0,None,High,36.5,3,3,5,25,0,1,0,0,0,0,1,Green,District Health Office,Verified
Lawngtlai Village,Mizoram,2023-01-06,0,None,High,30.4,5,2,2,18,1,0,0,0,0,0,1,Orange,Clinic,Verified
Udaipur Village,Tripura,2023-01-06,0,None,Low,10.2,3,2,1,14,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Tuensang Village,Nagaland,2023-01-06,0,None,Low,8.9,1,3,2,14,0,0,0,0,0,0,0,Green,District Health Office,Under Investigation
Phek Rural,Nagaland,2023-01-06,0,None,Low,6.8,1,0,4,8,0,0,0,0,0,0,0,Green,Community Leader,Verified
Churachandpur Village,Manipur,2023-01-06,0,None,Low,5.4,0,2,2,7,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Wokha Rural,Nagaland,2023-01-06,0,None,Low,13.5,6,1,0,12,0,0,0,0,0,0,0,Orange,ASHA Worker,Under Investigation
Guwahati Rural,Assam,2023-01-07,0,None,Low,8.7,3,1,1,11,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Jiribam Village,Manipur,2023-01-07,0,None,Low,5.4,0,2,2,8,0,0,0,0,0,0,0,Green,District Health Office,Verified
Aizawl Rural,Mizoram,2023-01-07,0,None,Medium,21.7,3,3,1,12,0,0,1,0,0,0,0,Red,ASHA Worker,Verified
Nagaon Rural,Assam,2023-01-07,0,None,Low,4.2,0,2,1,5,0,0,0,0,0,0,0,Orange,ASHA Worker,Under Investigation
Tawang Rural,Arunachal Pradesh,2023-01-07,0,None,High,41.8,3,4,4,21,1,0,1,0,0,0,1,Green,ASHA Worker,Verified
Shillong Rural,Meghalaya,2023-01-07,0,None,Medium,21.1,5,5,3,19,0,0,0,0,0,0,0,Green,District Health Office,Verified
Resubelpara Rural,Meghalaya,2023-01-07,0,None,Medium,23.7,3,1,1,6,1,0,0,0,0,0,0,Green,ASHA Worker,Verified
Lunglei Village,Mizoram,2023-01-08,0,None,Medium,19.8,6,2,4,17,0,0,0,0,0,0,0,Red,District Health Office,Verified
Nongpoh Village,Meghalaya,2023-01-08,0,None,Low,4.4,1,0,2,6,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Agartala Rural,Tripura,2023-01-08,0,None,Medium,27.7,2,5,1,18,1,0,0,0,0,0,1,Yellow,Clinic,Verified
Jorhat Village,Assam,2023-01-08,0,None,High,35.1,1,3,3,10,1,0,1,0,0,0,1,Orange,ASHA Worker,Under Investigation
Itanagar Rural,Arunachal Pradesh,2023-01-08,0,None,Medium,29.1,3,3,3,19,1,0,0,0,0,0,1,Green,Clinic,Verified
Dimapur Village,Nagaland,2023-01-08,0,None,High,43.9,1,3,2,9,1,1,0,0,0,0,1,Green,ASHA Worker,Under Investigation
Dimapur Village,Nagaland,2023-01-08,0,None,Medium,17.1,1,1,3,11,0,0,1,0,0,0,0,Red,Clinic,Verified
Agartala Rural,Tripura,2023-01-09,0,None,Low,10.8,3,0,4,8,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Rangpo Rural,Sikkim,2023-01-09,0,None,Medium,16.6,5,2,3,19,0,0,0,0,0,0,0,Yellow,District Health Office,Pending
Churachandpur Village,Manipur,2023-01-09,0,None,Low,11.4,3,2,2,15,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Rangpo Rural,Sikkim,2023-01-09,0,None,Low,6.2,1,2,1,7,0,0,0,0,0,0,0,Green,Community Leader,Pending
Imphal Rural,Manipur,2023-01-09,0,None,Medium,20.4,6,4,2,25,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Kailashahar Village,Tripura,2023-01-09,0,None,Medium,18.5,1,1,0,2,1,0,0,0,0,0,0,Red,ASHA Worker,Under Investigation
Wokha Rural,Nagaland,2023-01-09,0,None,Low,11.7,3,3,1,10,0,0,0,0,0,0,0,Green,District Health Office,Verified
Karimganj Village,Assam,2023-01-10,0,None,Low,11.4,3,2,2,9,0,0,0,0,0,0,0,Green,District Health Office,Verified
Pakyong Village,Sikkim,2023-01-10,0,None,Medium,15.6,3,4,3,16,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Phek Rural,Nagaland,2023-01-10,0,None,Medium,26.6,5,2,3,12,0,0,1,0,0,0,1,Red,Clinic,Verified
Imphal Rural,Manipur,2023-01-10,0,None,Low,13.2,3,4,1,9,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Gyalshing Rural,Sikkim,2023-01-10,0,None,Medium,24.5,4,1,0,8,1,0,0,0,0,0,0,Yellow,Clinic,Verified
Tawang Rural,Arunachal Pradesh,2023-01-10,0,None,Low,14.3,4,1,4,14,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Bishnupur Rural,Manipur,2023-01-10,0,None,Low,11.7,3,3,1,8,0,0,0,0,0,0,0,Green,Clinic,Verified
Agartala Rural,Tripura,2023-01-11,0,None,Medium,28.4,4,2,2,12,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Khliehriat Village,Meghalaya,2023-01-11,0,None,Medium,22.6,2,0,3,7,1,0,0,0,0,0,0,Yellow,Clinic,Verified
Rangpo Rural,Sikkim,2023-01-11,0,None,Medium,27.4,5,0,2,12,1,0,0,0,0,0,1,Yellow,Clinic,Verified
Tezpur Rural,Assam,2023-01-11,0,None,Medium,16.1,4,3,3,16,0,0,0,0,0,0,0,Orange,District Health Office,Pending
Baghmara Rural,Meghalaya,2023-01-11,0,None,Low,14.6,4,2,3,11,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Nagaon Rural,Assam,2023-01-11,0,None,Medium,22.6,8,2,3,23,0,0,0,0,0,0,0,Green,Clinic,Verified
Dimapur Village,Nagaland,2023-01-11,0,None,Low,11.5,5,1,0,9,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Serchhip Village,Mizoram,2023-01-12,0,None,Medium,25.2,3,2,1,13,1,0,0,0,0,0,1,Green,Clinic,Under Investigation
Hnahthial Village,Mizoram,2023-01-12,0,None,High,32.4,2,4,2,18,0,1,0,0,0,0,1,Yellow,District Health Office,Verified
Lunglei Village,Mizoram,2023-01-12,0,None,Medium,20.8,5,4,4,20,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Ukhrul Village,Manipur,2023-01-12,0,None,Medium,16.9,5,3,2,19,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Dharmanagar Rural,Tripura,2023-01-12,0,None,Low,12.7,5,1,1,9,0,0,0,0,0,0,0,Green,Community Leader,Verified
Lawngtlai Village,Mizoram,2023-01-12,1,Water-borne,High,32.7,6,3,1,15,1,0,0,7,1,5,1,Red,Clinic,Pending
Naharlagun Village,Arunachal Pradesh,2023-01-12,0,None,Medium,27.0,3,4,0,9,1,0,0,0,0,0,1,Green,Clinic,Verified
Namchi Village,Sikkim,2023-01-13,0,None,Low,6.2,1,2,1,4,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Gangtok Rural,Sikkim,2023-01-13,0,None,Low,14.7,6,1,1,16,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Champhai Rural,Mizoram,2023-01-13,0,None,Low,8.0,1,4,0,11,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Tura Village,Meghalaya,2023-01-13,0,None,Low,7.1,1,1,3,7,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Imphal Rural,Manipur,2023-01-13,0,None,Medium,28.0,0,2,0,4,1,0,1,0,0,0,1,Red,District Health Office,Verified
Naharlagun Village,Arunachal Pradesh,2023-01-13,0,None,Medium,16.3,2,5,4,17,0,0,0,0,0,0,0,Orange,ASHA Worker,Under Investigation
Saitual Rural,Mizoram,2023-01-13,0,None,Medium,27.7,5,1,1,16,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Lawngtlai Village,Mizoram,2023-01-14,0,None,Low,13.4,4,2,2,10,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Jiribam Village,Manipur,2023-01-14,0,None,Low,9.4,2,2,2,12,0,0,0,0,0,0,0,Green,Clinic,Verified
Singtam Village,Sikkim,2023-01-14,0,None,High,33.2,2,2,1,10,1,0,1,0,0,0,1,Green,District Health Office,Verified
Naharlagun Village,Arunachal Pradesh,2023-01-14,0,None,Low,10.8,3,0,4,14,0,0,0,0,0,0,0,Green,Community Leader,Verified
Serchhip Village,Mizoram,2023-01-14,0,None,Medium,20.9,4,7,2,18,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Namchi Village,Sikkim,2023-01-14,0,None,Low,10.5,3,3,0,13,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Wokha Rural,Nagaland,2023-01-14,0,None,Low,8.2,2,2,1,12,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Kohima Rural,Nagaland,2023-01-15,0,None,Medium,20.1,6,3,3,19,0,0,0,0,0,0,0,Green,Clinic,Verified
Ukhrul Village,Manipur,2023-01-15,0,None,High,31.4,5,2,7,29,0,0,1,0,0,0,1,Green,ASHA Worker,Under Investigation
Tezpur Rural,Assam,2023-01-15,0,None,Medium,25.4,5,2,2,11,0,0,1,0,0,0,1,Green,Clinic,Verified
Bomdila Rural,Arunachal Pradesh,2023-01-15,0,None,High,30.1,2,5,3,21,1,0,0,0,0,0,1,Yellow,Clinic,Pending
Jorhat Village,Assam,2023-01-15,0,None,Low,8.9,1,3,2,9,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Bomdila Rural,Arunachal Pradesh,2023-01-15,0,None,Medium,19.7,2,3,1,10,0,0,1,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Kohima Rural,Nagaland,2023-01-15,0,None,Low,10.3,2,1,4,15,0,0,0,0,0,0,0,Green,District Health Office,Verified
Hnahthial Village,Mizoram,2023-01-16,0,None,Medium,17.4,3,6,2,18,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Kolasib Rural,Mizoram,2023-01-16,0,None,Medium,25.7,1,5,1,10,1,0,0,0,0,0,1,Orange,Clinic,Verified
Resubelpara Rural,Meghalaya,2023-01-16,0,None,Low,9.2,1,4,1,14,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Namchi Village,Sikkim,2023-01-16,0,None,Low,12.7,5,1,1,14,0,0,0,0,0,0,0,Yellow,Community Leader,Verified
Jiribam Village,Manipur,2023-01-16,0,None,Medium,19.0,3,2,0,9,0,0,1,0,0,0,0,Green,Clinic,Verified
Gyalshing Rural,Sikkim,2023-01-16,0,None,Low,14.2,5,2,1,16,0,0,0,0,0,0,0,Red,Clinic,Verified
Thoubal Village,Manipur,2023-01-16,0,None,Medium,28.7,4,3,1,14,1,0,0,0,0,0,1,Red,Clinic,Verified
Tezpur Rural,Assam,2023-01-17,0,None,Low,9.0,3,2,0,10,0,0,0,0,0,0,0,Orange,Clinic,Verified
Khliehriat Village,Meghalaya,2023-01-17,0,None,Medium,17.7,0,1,1,2,1,0,0,0,0,0,0,Orange,District Health Office,Verified
Thoubal Village,Manipur,2023-01-17,0,None,Low,8.4,3,0,2,11,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Kolasib Rural,Mizoram,2023-01-17,0,None,High,31.6,5,2,3,23,1,0,0,0,0,0,1,Green,ASHA Worker,Verified
Pasighat Rural,Arunachal Pradesh,2023-01-17,0,None,Medium,20.8,2,8,4,20,0,0,0,0,0,0,0,Orange,District Health Office,Pending
Amarpur Village,Tripura,2023-01-17,0,None,Medium,25.2,3,2,1,9,1,0,0,0,0,0,1,Green,Clinic,Under Investigation
Mangan Village,Sikkim,2023-01-17,0,None,Low,9.4,2,2,2,11,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Tezpur Village,Arunachal Pradesh,2023-01-18,0,None,Medium,15.2,2,0,1,7,0,0,1,0,0,0,0,Green,Community Leader,Pending
Lunglei Village,Mizoram,2023-01-18,0,None,Low,5.5,2,1,0,5,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Ukhrul Village,Manipur,2023-01-18,0,None,Low,9.7,2,3,1,13,0,0,0,0,0,0,0,Green,District Health Office,Verified
Itanagar Rural,Arunachal Pradesh,2023-01-18,0,None,Medium,15.7,0,3,1,7,0,0,1,0,0,0,0,Yellow,ASHA Worker,Verified
Kailashahar Village,Tripura,2023-01-18,0,None,Medium,20.9,1,1,2,5,1,0,0,0,0,0,0,Green,District Health Office,Verified
Gangtok Rural,Sikkim,2023-01-18,0,None,Low,9.9,3,1,2,7,0,0,0,0,0,0,0,Green,District Health Office,Verified
Rangpo Rural,Sikkim,2023-01-18,0,None,Medium,22.5,4,3,0,13,0,0,1,0,0,0,0,Orange,ASHA Worker,Under Investigation
Naharlagun Village,Arunachal Pradesh,2023-01-19,0,None,Medium,22.1,2,3,3,13,0,0,1,0,0,0,0,Green,ASHA Worker,Verified
Pakyong Village,Sikkim,2023-01-19,0,None,Medium,21.2,2,4,1,16,0,0,1,0,0,0,0,Orange,Clinic,Verified
Nagaon Rural,Assam,2023-01-19,0,None,High,33.2,2,2,1,11,1,0,1,0,0,0,1,Yellow,ASHA Worker,Verified
Mangan Village,Sikkim,2023-01-19,0,None,Medium,18.4,5,4,2,16,0,0,0,0,0,0,0,Orange,District Health Office,Under Investigation
Pasighat Rural,Arunachal Pradesh,2023-01-19,0,None,Low,11.9,4,1,2,11,0,0,0,0,0,0,0,Red,Clinic,Verified
Barpeta Village,Assam,2023-01-19,0,None,Low,5.0,1,2,0,5,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Nagaon Rural,Assam,2023-01-19,0,None,Low,9.9,3,1,2,9,0,0,0,0,0,0,0,Red,Community Leader,Verified
Thoubal Village,Manipur,2023-01-20,0,None,Medium,23.4,4,2,2,17,0,0,1,0,0,0,0,Orange,Community Leader,Verified
Bishnupur Rural,Manipur,2023-01-20,0,None,Low,8.5,2,3,0,9,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Lawngtlai Village,Mizoram,2023-01-20,0,None,Medium,19.0,3,2,0,11,0,0,1,0,0,0,0,Yellow,ASHA Worker,Verified
Dharmanagar Rural,Tripura,2023-01-20,0,None,Medium,27.1,3,5,3,26,0,0,1,0,0,0,1,Orange,ASHA Worker,Verified
Resubelpara Rural,Meghalaya,2023-01-20,0,None,High,31.7,2,1,1,8,1,0,1,0,0,0,1,Green,ASHA Worker,Under Investigation
Agartala Rural,Tripura,2023-01-20,0,None,Low,10.7,4,1,1,10,0,0,0,0,0,0,0,Yellow,ASHA Worker,Pending
Amarpur Village,Tripura,2023-01-20,0,None,Low,14.7,6,1,1,14,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Baghmara Rural,Meghalaya,2023-01-21,0,None,Medium,27.9,3,3,2,14,1,0,0,0,0,0,1,Orange,Community Leader,Verified
Pasighat Rural,Arunachal Pradesh,2023-01-21,0,None,Low,11.9,4,1,2,10,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Jowai Rural,Meghalaya,2023-01-21,0,None,Medium,15.2,2,0,1,6,0,0,1,0,0,0,0,Orange,Community Leader,Verified
Jowai Rural,Meghalaya,2023-01-21,0,None,Low,10.7,4,1,1,7,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Teliamura Rural,Tripura,2023-01-21,0,None,Medium,23.8,8,2,4,33,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Gangtok Rural,Sikkim,2023-01-21,0,None,High,42.8,5,2,4,24,1,0,1,0,0,0,1,Yellow,District Health Office,Verified
Tuensang Village,Nagaland,2023-01-21,0,None,Low,13.2,3,4,1,19,0,0,0,0,0,0,0,Green,District Health Office,Pending
Bomdila Rural,Arunachal Pradesh,2023-01-22,0,None,Medium,19.9,3,1,2,11,0,0,1,0,0,0,0,Green,Community Leader,Verified
Tezpur Rural,Assam,2023-01-22,0,None,Low,6.0,0,4,0,8,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Imphal Rural,Manipur,2023-01-22,0,None,Medium,20.6,1,0,3,8,1,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Agartala Rural,Tripura,2023-01-22,0,None,Low,11.0,4,2,0,8,0,0,0,0,0,0,0,Green,District Health Office,Verified
Saitual Rural,Mizoram,2023-01-22,0,None,Low,6.9,0,3,2,7,0,0,0,0,0,0,0,Green,Clinic,Pending
Wokha Rural,Nagaland,2023-01-22,0,None,Medium,24.1,8,3,3,17,0,0,0,0,0,0,0,Yellow,Community Leader,Under Investigation
Senapati Rural,Manipur,2023-01-22,0,None,Low,6.2,1,2,1,5,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Udaipur Village,Tripura,2023-01-23,0,None,Low,7.0,2,2,0,8,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Baghmara Rural,Meghalaya,2023-01-23,0,None,Low,14.1,3,3,3,22,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Amarpur Village,Tripura,2023-01-23,0,None,Low,8.1,0,3,3,12,0,0,0,0,0,0,0,Yellow,Clinic,Pending
Gangtok Rural,Sikkim,2023-01-23,0,None,Medium,28.8,3,2,4,10,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Namchi Village,Sikkim,2023-01-23,0,None,Medium,22.0,2,2,0,7,1,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Dharmanagar Rural,Tripura,2023-01-23,1,Water-borne,High,40.6,6,0,3,11,1,0,1,4,1,5,1,Green,ASHA Worker,Verified
Saitual Rural,Mizoram,2023-01-23,0,None,Medium,16.4,4,4,2,16,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Rangpo Rural,Sikkim,2023-01-24,0,None,Medium,24.2,1,4,1,9,1,0,0,0,0,0,0,Red,ASHA Worker,Verified
Mangan Village,Sikkim,2023-01-24,0,None,Low,11.0,1,2,5,17,0,0,0,0,0,0,0,Green,Community Leader,Verified
Imphal Rural,Manipur,2023-01-24,0,None,Medium,20.9,2,3,2,15,0,0,1,0,0,0,0,Green,ASHA Worker,Verified
Jorethang Rural,Sikkim,2023-01-24,1,Water-borne,High,32.4,6,2,2,23,1,0,0,13,1,5,1,Yellow,Clinic,Pending
Naharlagun Village,Arunachal Pradesh,2023-01-24,0,None,High,44.0,4,4,0,14,0,1,1,0,0,0,1,Yellow,Clinic,Verified
Khliehriat Village,Meghalaya,2023-01-24,0,None,Low,13.5,3,5,0,11,0,0,0,0,0,0,0,Green,Clinic,Under Investigation
Pakyong Village,Sikkim,2023-01-24,0,None,Low,9.0,3,2,0,11,0,0,0,0,0,0,0,Green,District Health Office,Pending
Pasighat Rural,Arunachal Pradesh,2023-01-25,0,None,Medium,24.1,3,3,3,15,0,0,1,0,0,0,0,Yellow,District Health Office,Under Investigation
Roing Village,Arunachal Pradesh,2023-01-25,0,None,Low,14.2,5,2,1,19,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Bishnupur Rural,Manipur,2023-01-25,0,None,Low,10.0,2,4,0,13,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Kailashahar Village,Tripura,2023-01-25,0,None,Medium,24.9,3,1,2,7,1,0,0,0,0,0,0,Yellow,Clinic,Verified
Gangtok Rural,Sikkim,2023-01-25,0,None,Low,13.9,2,5,2,20,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Agartala Rural,Tripura,2023-01-25,0,None,Low,8.2,2,2,1,11,0,0,0,0,0,0,0,Green,District Health Office,Verified
Pasighat Rural,Arunachal Pradesh,2023-01-25,0,None,Medium,20.6,4,6,3,19,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Lawngtlai Village,Mizoram,2023-01-26,0,None,Low,14.6,4,2,3,21,0,0,0,0,0,0,0,Green,Community Leader,Verified
Dibrugarh Rural,Assam,2023-01-26,0,None,Medium,24.0,3,2,0,11,1,0,0,0,0,0,0,Green,District Health Office,Verified
Barpeta Village,Assam,2023-01-26,0,None,Medium,25.5,3,3,0,13,1,0,0,0,0,0,1,Orange,District Health Office,Pending
Tawang Rural,Arunachal Pradesh,2023-01-26,0,None,Medium,16.2,6,2,1,16,0,0,0,0,0,0,0,Yellow,Community Leader,Pending
Amarpur Village,Tripura,2023-01-26,0,None,Medium,15.9,3,5,2,22,0,0,0,0,0,0,0,Yellow,Clinic,Pending
Guwahati Rural,Assam,2023-01-26,0,None,Low,1.2,0,0,1,2,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Jowai Rural,Meghalaya,2023-01-26,0,None,Medium,27.4,2,4,2,12,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Mokokchung Rural,Nagaland,2023-01-27,1,Water-borne,High,32.7,6,3,1,19,1,0,0,12,2,5,1,Orange,ASHA Worker,Verified
Khowai Village,Tripura,2023-01-27,0,None,Medium,18.2,2,2,1,8,0,0,1,0,0,0,0,Green,Clinic,Verified
Wokha Rural,Nagaland,2023-01-27,0,None,Low,8.4,3,0,2,8,0,0,0,0,0,0,0,Orange,Clinic,Verified
Tamenglong Rural,Manipur,2023-01-27,0,None,Medium,15.0,1,2,0,3,0,0,1,0,0,0,0,Yellow,District Health Office,Verified
Rangpo Rural,Sikkim,2023-01-27,0,None,Medium,22.5,3,1,0,6,1,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Champhai Rural,Mizoram,2023-01-27,0,None,Low,14.2,5,2,1,12,0,0,0,0,0,0,0,Green,Clinic,Verified
Belonia Rural,Tripura,2023-01-27,0,None,High,46.7,3,3,1,10,1,1,0,0,0,0,1,Green,ASHA Worker,Verified
Churachandpur Village,Manipur,2023-01-28,0,None,Medium,18.9,6,3,2,20,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Senapati Rural,Manipur,2023-01-28,0,None,Medium,15.4,5,2,2,15,0,0,0,0,0,0,0,Yellow,District Health Office,Under Investigation
Tezpur Village,Arunachal Pradesh,2023-01-28,0,None,Medium,26.6,1,4,3,15,1,0,0,0,0,0,1,Green,District Health Office,Verified
Lunglei Village,Mizoram,2023-01-28,0,None,Medium,23.1,0,3,3,7,1,0,0,0,0,0,0,Green,ASHA Worker,Verified
Teliamura Rural,Tripura,2023-01-28,0,None,Medium,17.6,4,4,3,24,0,0,0,0,0,0,0,Orange,Clinic,Verified
Senapati Rural,Manipur,2023-01-28,0,None,Medium,18.9,6,3,2,22,0,0,0,0,0,0,0,Green,Clinic,Verified
